AC_NO,AC_NAME,is_contiguous,part_count,convex_hull_ratio,convex_hull_ratio_category,polsby_popper_score,polsby_popper_category,area_m2,perimeter_m,hull_area_m2
1,Ratabari,True,1,0.8914001092765492,Very High,0.36472945809676943,Low,514511933.07884824,133142.66243386376,577195277.0977565
2,Patharkandi,True,1,0.7750963135564299,High,0.38060457148255256,Low,584342458.064657,138899.81055073274,753896577.5536677
3,Karimganj North,True,1,0.820787551691346,Very High,0.50360303470799,Moderate,168512251.68867615,64845.00135082222,205305564.56592622
4,Karimganj South,True,1,0.6791901812505994,High,0.32975210095060575,Low,347900086.1322726,115143.23169531909,512227790.88425696
5,Badarpur,True,1,0.8618129781189385,Very High,0.5281897211673136,Moderate,256267169.04891217,78082.9917533237,297358215.24556434
6,Hailakandi,True,1,0.8699745772946645,Very High,0.6227548499491719,High,221392402.72871488,66838.65925085192,254481462.4551129
7,Katlicherra,True,1,0.7979165008932685,High,0.293774813859347,Low,818350076.3776032,187097.1688308652,1025608663.8908448
8,Algapur,True,1,0.7455090905403517,High,0.32622360591821886,Low,428438301.15419286,128466.94139691138,574692256.0577456
9,Silchar,True,1,0.7859922707489062,High,0.49539882032464266,Moderate,70784668.66439745,42373.764611293496,90057715.9581387
10,Sonai,True,1,0.8329430759802897,Very High,0.5517175574689803,Moderate,260338987.22022045,77004.50528546316,312553156.0651102
11,Dholai,True,1,0.7492153557118001,High,0.26979793280655545,Low,900310174.474165,204777.24799196128,1201670744.7471037
12,Udharbond,True,1,0.6897363164072153,High,0.33633540080855334,Low,639214192.4784282,154540.33379746447,926751538.628627
13,Lakhipur,True,1,0.5921134189592168,Moderate,0.146352027893989,Very Low,613134268.606682,229447.5130002804,1035501390.3998568
14,Barkhola,True,1,0.7677699502245667,High,0.398987719040339,Low,464838146.93175215,120997.40285793846,605439359.5318371
15,Katigora,True,1,0.7283535958190738,High,0.303847975251569,Low,690536358.8010008,168993.51292532147,948078464.5875945
